9229    39.465 39.466 39.465 39.466 39.463 39.463 39.462 39.462 39.451 39.451 39.452 39.454
9532    39.171 39.171 39.172 39.171 39.217 39.217 39.215 39.204 38.739 38.739 38.735 38.707
9546    39.622 39.623 39.622 39.623 39.620 39.620 39.619 39.620 39.607 39.607 39.608 39.611
10050   39.804 39.805 39.804 39.805 39.801 39.801 39.800 39.801 39.788 39.788 39.788 39.792
10830   40.296 40.312 40.441 40.900 40.294 40.319 40.496 41.011 40.306 40.343 40.573 41.049
10940   40.018 40.018 40.018 40.019 40.014 40.014 40.014 40.014 39.999 40.000 40.000 40.004
12820   40.268 40.269 40.268 40.269 40.260 40.260 40.259 40.260 40.243 40.243 40.243 40.247
18750   40.595 40.596 40.595 40.589 40.580 40.580 40.579 40.574 40.558 40.558 40.558 40.556
21660   39.485 39.486 39.485 39.487 39.469 39.469 39.468 39.470 39.444 39.444 39.444 39.449
26250   39.705 39.705 39.705 39.704 39.687 39.687 39.686 39.686 39.660 39.660 39.661 39.664
40510   39.974 39.974 39.973 39.961 39.950 39.950 39.949 39.938 39.921 39.921 39.921 39.914
69800   37.217 37.217 37.216 37.207 36.374 36.374 36.373 36.364 35.490 35.491 35.490 35.484
74580   39.498 39.499 39.498 39.478 39.475 39.475 39.473 39.455 39.444 39.444 39.444 39.429
90000   38.301 38.301 38.301 38.297 38.171 38.171 38.170 38.164 37.536 37.536 37.535 37.528
105100  37.983 37.984 37.984 37.975 39.118 39.118 39.117 39.109 39.477 39.477 39.476 39.462
128100  37.760 37.761 37.761 37.761 36.847 36.847 36.847 36.847 35.884 35.885 35.885 35.884
155500  38.753 38.754 38.753 38.747 38.873 38.873 38.872 38.866 38.970 38.970 38.969 38.962
186700  38.666 38.669 38.690 38.754 38.610 38.612 38.625 38.673 38.054 38.055 38.063 38.088
334700  39.006 39.003 38.968 38.703 38.925 38.922 38.890 38.646 38.347 38.344 38.315 38.085
348100  38.016 38.010 37.962 37.665 37.450 37.443 37.387 37.068 36.782 36.773 36.701 36.318
360100  37.708 37.709 37.707 37.694 37.831 37.831 37.829 37.817 37.915 37.915 37.914 37.904
518000  39.014 39.018 39.037 38.963 39.308 39.311 39.328 39.265 39.403 39.405 39.423 39.371
572100  38.166 38.159 38.093 37.713 38.339 38.333 38.270 37.902 37.943 37.937 37.878 37.520
631700  37.671 37.669 37.663 37.602 36.837 36.836 36.828 36.762 35.936 35.935 35.927 35.862
883300  39.259 39.248 39.144 38.590 39.549 39.538 39.443 38.919 39.638 39.628 39.539 39.050
1217000 37.218 37.225 37.113 36.519 36.375 36.384 36.292 35.721 35.476 35.497 35.403 34.827
1455000 36.675 36.673 36.659 36.540 35.841 35.839 35.823 35.692 34.939 34.937 34.921 34.788
1576000 38.749 38.602 38.058 37.195 37.994 37.849 37.291 36.404 37.147 37.000 36.434 35.532
2054000 37.389 37.280 36.721 35.693 36.546 36.446 35.924 34.930 35.648 35.562 35.046 34.036
