Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.468E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
8.472E+02  2.269E-26  5.100E-16
8.395E+02  2.360E-26  5.255E-16
8.318E+02  2.454E-26  5.415E-16
8.241E+02  2.553E-26  5.580E-16
8.166E+02  2.655E-26  5.750E-16
8.091E+02  2.760E-26  5.924E-16
8.017E+02  2.870E-26  6.104E-16
7.943E+02  2.985E-26  6.289E-16
7.870E+02  3.104E-26  6.480E-16
7.798E+02  3.227E-26  6.676E-16
7.727E+02  3.356E-26  6.877E-16
7.656E+02  3.489E-26  7.085E-16
7.586E+02  3.627E-26  7.299E-16
7.516E+02  3.771E-26  7.519E-16
7.447E+02  3.921E-26  7.746E-16
7.379E+02  4.077E-26  7.980E-16
7.311E+02  4.239E-26  8.221E-16
7.244E+02  4.407E-26  8.469E-16
7.178E+02  4.582E-26  8.724E-16
7.112E+02  4.764E-26  8.987E-16
7.047E+02  4.953E-26  9.258E-16
6.982E+02  5.149E-26  9.537E-16
6.918E+02  5.354E-26  9.825E-16
6.855E+02  5.566E-26  1.012E-15
6.792E+02  5.786E-26  1.042E-15
6.730E+02  6.015E-26  1.074E-15
6.668E+02  6.252E-26  1.106E-15
6.607E+02  6.499E-26  1.139E-15
6.546E+02  6.756E-26  1.173E-15
6.486E+02  7.024E-26  1.209E-15
6.427E+02  7.303E-26  1.245E-15
6.368E+02  7.592E-26  1.282E-15
6.310E+02  7.892E-26  1.321E-15
6.252E+02  8.205E-26  1.361E-15
6.194E+02  8.530E-26  1.402E-15
6.138E+02  8.867E-26  1.444E-15
6.081E+02  9.218E-26  1.487E-15
6.026E+02  9.583E-26  1.532E-15
5.970E+02  9.962E-26  1.578E-15
5.916E+02  1.036E-25  1.625E-15
5.861E+02  1.077E-25  1.674E-15
5.808E+02  1.119E-25  1.724E-15
5.754E+02  1.163E-25  1.776E-15
5.702E+02  1.209E-25  1.829E-15
5.649E+02  1.257E-25  1.884E-15
5.598E+02  1.307E-25  1.940E-15
5.546E+02  1.358E-25  1.998E-15
5.495E+02  1.412E-25  2.058E-15
5.445E+02  1.468E-25  2.120E-15
5.395E+02  1.525E-25  2.183E-15
5.346E+02  1.586E-25  2.248E-15
