Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         1 = grain model
 4.000E-08 4.000E-01 0.000E+00 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 0.000E+00 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+05 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 9.211E+01 = <U> 
     mmp83 = radfield
 4.111E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
2.754E+03  1.792E-28  1.309E-17
2.729E+03  1.863E-28  1.348E-17
2.704E+03  1.937E-28  1.389E-17
2.679E+03  2.013E-28  1.431E-17
2.655E+03  2.093E-28  1.474E-17
2.630E+03  2.176E-28  1.518E-17
2.606E+03  2.263E-28  1.564E-17
2.582E+03  2.353E-28  1.612E-17
2.559E+03  2.446E-28  1.660E-17
2.535E+03  2.544E-28  1.711E-17
2.512E+03  2.645E-28  1.762E-17
2.489E+03  2.750E-28  1.816E-17
2.466E+03  2.860E-28  1.871E-17
2.443E+03  2.974E-28  1.928E-17
2.421E+03  3.093E-28  1.986E-17
2.399E+03  3.217E-28  2.047E-17
2.377E+03  3.345E-28  2.109E-17
2.355E+03  3.479E-28  2.174E-17
2.333E+03  3.619E-28  2.240E-17
2.312E+03  3.764E-28  2.308E-17
2.291E+03  3.915E-28  2.379E-17
2.270E+03  4.072E-28  2.451E-17
2.249E+03  4.235E-28  2.526E-17
2.228E+03  4.405E-28  2.604E-17
2.208E+03  4.582E-28  2.684E-17
2.188E+03  4.766E-28  2.766E-17
2.168E+03  4.958E-28  2.851E-17
2.148E+03  5.158E-28  2.938E-17
2.128E+03  5.365E-28  3.029E-17
2.109E+03  5.581E-28  3.122E-17
2.089E+03  5.806E-28  3.218E-17
2.070E+03  6.041E-28  3.317E-17
2.051E+03  6.284E-28  3.419E-17
2.032E+03  6.538E-28  3.525E-17
2.014E+03  6.802E-28  3.633E-17
1.995E+03  7.077E-28  3.746E-17
1.977E+03  7.363E-28  3.861E-17
1.959E+03  7.660E-28  3.980E-17
1.941E+03  7.970E-28  4.103E-17
1.923E+03  8.293E-28  4.230E-17
1.905E+03  8.628E-28  4.361E-17
1.888E+03  8.978E-28  4.496E-17
1.871E+03  9.342E-28  4.636E-17
1.854E+03  9.721E-28  4.779E-17
1.837E+03  1.011E-27  4.928E-17
1.820E+03  1.053E-27  5.080E-17
1.803E+03  1.095E-27  5.238E-17
1.786E+03  1.140E-27  5.401E-17
1.770E+03  1.186E-27  5.569E-17
1.754E+03  1.234E-27  5.742E-17
1.738E+03  1.284E-27  5.921E-17
1.722E+03  1.337E-27  6.105E-17
1.706E+03  1.391E-27  6.295E-17
1.690E+03  1.448E-27  6.492E-17
1.675E+03  1.507E-27  6.694E-17
1.660E+03  1.568E-27  6.903E-17
1.644E+03  1.632E-27  7.118E-17
1.629E+03  1.698E-27  7.341E-17
1.614E+03  1.768E-27  7.570E-17
1.600E+03  1.840E-27  7.806E-17
1.585E+03  1.915E-27  8.050E-17
1.570E+03  1.993E-27  8.302E-17
1.556E+03  2.074E-27  8.562E-17
1.542E+03  2.159E-27  8.829E-17
1.528E+03  2.247E-27  9.106E-17
1.514E+03  2.339E-27  9.391E-17
1.500E+03  2.435E-27  9.685E-17
1.486E+03  2.534E-27  9.988E-17
1.472E+03  2.638E-27  1.030E-16
1.459E+03  2.746E-27  1.062E-16
1.445E+03  2.858E-27  1.096E-16
1.432E+03  2.975E-27  1.130E-16
1.419E+03  3.097E-27  1.166E-16
1.406E+03  3.224E-27  1.202E-16
1.393E+03  3.356E-27  1.240E-16
1.380E+03  3.493E-27  1.279E-16
1.368E+03  3.636E-27  1.319E-16
1.355E+03  3.785E-27  1.361E-16
1.343E+03  3.941E-27  1.404E-16
1.330E+03  4.102E-27  1.448E-16
1.318E+03  4.270E-27  1.493E-16
1.306E+03  4.445E-27  1.540E-16
1.294E+03  4.628E-27  1.589E-16
1.282E+03  4.817E-27  1.639E-16
1.271E+03  5.015E-27  1.690E-16
1.259E+03  5.221E-27  1.743E-16
1.247E+03  5.435E-27  1.798E-16
1.236E+03  5.658E-27  1.855E-16
1.225E+03  5.890E-27  1.913E-16
1.213E+03  6.131E-27  1.973E-16
1.202E+03  6.383E-27  2.036E-16
1.191E+03  6.645E-27  2.100E-16
1.180E+03  6.917E-27  2.166E-16
1.169E+03  7.201E-27  2.234E-16
1.159E+03  7.496E-27  2.304E-16
1.148E+03  7.803E-27  2.377E-16
1.138E+03  8.123E-27  2.451E-16
1.127E+03  8.457E-27  2.529E-16
1.117E+03  8.803E-27  2.608E-16
1.107E+03  9.164E-27  2.690E-16
1.096E+03  9.540E-27  2.775E-16
1.086E+03  9.931E-27  2.862E-16
1.076E+03  1.034E-26  2.952E-16
1.067E+03  1.076E-26  3.045E-16
1.057E+03  1.120E-26  3.140E-16
1.047E+03  1.166E-26  3.239E-16
1.038E+03  1.214E-26  3.341E-16
