Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         4 = grain model
 4.000E-08 4.000E-01 2.250E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 7.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+06 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.151E+02 = <U> 
     mmp83 = radfield
 5.115E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.107E+03  9.051E-27  2.657E-16
1.096E+03  9.422E-27  2.740E-16
1.086E+03  9.808E-27  2.826E-16
1.076E+03  1.021E-26  2.915E-16
1.067E+03  1.063E-26  3.007E-16
1.057E+03  1.106E-26  3.101E-16
1.047E+03  1.152E-26  3.198E-16
1.038E+03  1.199E-26  3.299E-16
1.028E+03  1.248E-26  3.402E-16
1.019E+03  1.299E-26  3.509E-16
1.009E+03  1.352E-26  3.619E-16
1.000E+03  1.407E-26  3.732E-16
9.908E+02  1.464E-26  3.849E-16
9.817E+02  1.524E-26  3.970E-16
9.727E+02  1.587E-26  4.094E-16
9.638E+02  1.652E-26  4.222E-16
9.550E+02  1.719E-26  4.355E-16
9.462E+02  1.789E-26  4.491E-16
9.376E+02  1.862E-26  4.632E-16
9.290E+02  1.938E-26  4.777E-16
9.204E+02  2.018E-26  4.926E-16
9.120E+02  2.100E-26  5.080E-16
9.036E+02  2.185E-26  5.239E-16
8.954E+02  2.275E-26  5.402E-16
8.872E+02  2.367E-26  5.571E-16
8.790E+02  2.463E-26  5.744E-16
8.710E+02  2.564E-26  5.923E-16
8.630E+02  2.668E-26  6.107E-16
8.551E+02  2.776E-26  6.297E-16
8.472E+02  2.889E-26  6.493E-16
8.395E+02  3.006E-26  6.694E-16
8.318E+02  3.128E-26  6.902E-16
8.241E+02  3.255E-26  7.115E-16
8.166E+02  3.387E-26  7.336E-16
8.091E+02  3.524E-26  7.563E-16
8.017E+02  3.666E-26  7.796E-16
7.943E+02  3.814E-26  8.037E-16
7.870E+02  3.969E-26  8.285E-16
7.798E+02  4.129E-26  8.541E-16
7.727E+02  4.295E-26  8.804E-16
7.656E+02  4.469E-26  9.075E-16
7.586E+02  4.649E-26  9.354E-16
7.516E+02  4.836E-26  9.642E-16
7.447E+02  5.031E-26  9.939E-16
7.379E+02  5.234E-26  1.025E-15
7.311E+02  5.446E-26  1.056E-15
7.244E+02  5.665E-26  1.089E-15
7.178E+02  5.894E-26  1.122E-15
7.112E+02  6.132E-26  1.157E-15
7.047E+02  6.379E-26  1.192E-15
6.982E+02  6.637E-26  1.229E-15
6.918E+02  6.905E-26  1.267E-15
6.855E+02  7.183E-26  1.306E-15
6.792E+02  7.473E-26  1.346E-15
6.730E+02  7.773E-26  1.388E-15
6.668E+02  8.086E-26  1.430E-15
6.607E+02  8.411E-26  1.474E-15
6.546E+02  8.750E-26  1.519E-15
6.486E+02  9.103E-26  1.566E-15
6.427E+02  9.471E-26  1.615E-15
6.368E+02  9.854E-26  1.664E-15
6.310E+02  1.025E-25  1.716E-15
6.252E+02  1.067E-25  1.769E-15
6.194E+02  1.110E-25  1.823E-15
6.138E+02  1.155E-25  1.880E-15
6.081E+02  1.201E-25  1.938E-15
6.026E+02  1.250E-25  1.998E-15
5.970E+02  1.300E-25  2.059E-15
5.916E+02  1.353E-25  2.123E-15
5.861E+02  1.407E-25  2.188E-15
5.808E+02  1.464E-25  2.256E-15
5.754E+02  1.524E-25  2.326E-15
5.702E+02  1.585E-25  2.397E-15
5.649E+02  1.649E-25  2.471E-15
5.598E+02  1.716E-25  2.548E-15
5.546E+02  1.785E-25  2.626E-15
5.495E+02  1.857E-25  2.708E-15
5.445E+02  1.933E-25  2.791E-15
5.395E+02  2.011E-25  2.878E-15
5.346E+02  2.092E-25  2.966E-15
5.297E+02  2.177E-25  3.058E-15
5.248E+02  2.265E-25  3.153E-15
5.200E+02  2.356E-25  3.250E-15
5.152E+02  2.451E-25  3.350E-15
5.105E+02  2.551E-25  3.454E-15
5.058E+02  2.654E-25  3.561E-15
5.012E+02  2.761E-25  3.671E-15
4.966E+02  2.873E-25  3.784E-15
4.920E+02  2.989E-25  3.901E-15
4.875E+02  3.109E-25  4.021E-15
4.831E+02  3.235E-25  4.145E-15
4.786E+02  3.366E-25  4.273E-15
4.742E+02  3.501E-25  4.405E-15
4.699E+02  3.643E-25  4.541E-15
4.656E+02  3.790E-25  4.681E-15
4.613E+02  3.943E-25  4.825E-15
4.571E+02  4.102E-25  4.973E-15
4.529E+02  4.267E-25  5.127E-15
4.487E+02  4.439E-25  5.284E-15
4.446E+02  4.618E-25  5.447E-15
4.406E+02  4.804E-25  5.614E-15
4.365E+02  4.998E-25  5.787E-15
4.325E+02  5.199E-25  5.964E-15
4.285E+02  5.408E-25  6.148E-15
4.246E+02  5.626E-25  6.336E-15
4.207E+02  5.852E-25  6.531E-15
4.169E+02  6.087E-25  6.731E-15
4.130E+02  6.332E-25  6.937E-15
