Dust emission from Draine & Li (2007): ApJ 657, 810-837
==========================================================
         2 = grain model
 4.000E-08 4.000E-01 7.500E-06 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.000E-07 5.500E-01 2.500E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+01 1.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 1.000E+01 = <U> 
     mmp83 = radfield
 4.426E-23 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
1.837E+03  8.015E-28  3.904E-17
1.820E+03  8.338E-28  4.025E-17
1.803E+03  8.674E-28  4.149E-17
1.786E+03  9.024E-28  4.276E-17
1.770E+03  9.388E-28  4.408E-17
1.754E+03  9.767E-28  4.544E-17
1.738E+03  1.016E-27  4.684E-17
1.722E+03  1.057E-27  4.829E-17
1.706E+03  1.100E-27  4.978E-17
1.690E+03  1.144E-27  5.131E-17
1.675E+03  1.191E-27  5.290E-17
1.660E+03  1.239E-27  5.453E-17
1.644E+03  1.289E-27  5.622E-17
1.629E+03  1.341E-27  5.796E-17
1.614E+03  1.395E-27  5.975E-17
1.600E+03  1.452E-27  6.160E-17
1.585E+03  1.511E-27  6.350E-17
1.570E+03  1.572E-27  6.547E-17
1.556E+03  1.635E-27  6.749E-17
1.542E+03  1.702E-27  6.958E-17
1.528E+03  1.770E-27  7.174E-17
1.514E+03  1.842E-27  7.396E-17
1.500E+03  1.917E-27  7.625E-17
1.486E+03  1.995E-27  7.862E-17
1.472E+03  2.075E-27  8.106E-17
1.459E+03  2.160E-27  8.357E-17
1.445E+03  2.247E-27  8.616E-17
1.432E+03  2.338E-27  8.884E-17
1.419E+03  2.433E-27  9.160E-17
1.406E+03  2.532E-27  9.444E-17
1.393E+03  2.635E-27  9.737E-17
1.380E+03  2.742E-27  1.004E-16
1.368E+03  2.853E-27  1.035E-16
1.355E+03  2.969E-27  1.067E-16
1.343E+03  3.090E-27  1.100E-16
1.330E+03  3.215E-27  1.135E-16
1.318E+03  3.346E-27  1.170E-16
1.306E+03  3.482E-27  1.206E-16
1.294E+03  3.623E-27  1.244E-16
1.282E+03  3.770E-27  1.282E-16
1.271E+03  3.923E-27  1.322E-16
1.259E+03  4.083E-27  1.363E-16
1.247E+03  4.248E-27  1.406E-16
1.236E+03  4.421E-27  1.449E-16
1.225E+03  4.600E-27  1.494E-16
1.213E+03  4.787E-27  1.541E-16
1.202E+03  4.981E-27  1.589E-16
1.191E+03  5.183E-27  1.638E-16
1.180E+03  5.394E-27  1.689E-16
1.169E+03  5.612E-27  1.741E-16
1.159E+03  5.840E-27  1.795E-16
1.148E+03  6.077E-27  1.851E-16
1.138E+03  6.323E-27  1.908E-16
1.127E+03  6.580E-27  1.967E-16
1.117E+03  6.846E-27  2.028E-16
1.107E+03  7.124E-27  2.091E-16
1.096E+03  7.412E-27  2.156E-16
1.086E+03  7.712E-27  2.223E-16
1.076E+03  8.025E-27  2.291E-16
1.067E+03  8.349E-27  2.362E-16
1.057E+03  8.687E-27  2.435E-16
1.047E+03  9.038E-27  2.511E-16
1.038E+03  9.404E-27  2.588E-16
1.028E+03  9.784E-27  2.668E-16
1.019E+03  1.018E-26  2.750E-16
1.009E+03  1.059E-26  2.835E-16
1.000E+03  1.102E-26  2.922E-16
