Dust emission from Draine & Li (2007): ApJ 657, 810-837
================================================================
         3 = grain model
 4.000E-08 4.000E-01 1.500E-05 = a_01 (cm) , sigma_1 , b_C1/0.92
 2.500E-07 4.000E-01 5.000E-06 = a_02 (cm) , sigma_2 , b_C2/0.92
 1.000E+01 1.000E+04 2.000E+00 = Umin , Umax, beta (dN/dU propto U^{-beta})
 6.915E+01 = <U> 
     mmp83 = radfield
 3.075E-22 = power/H (erg s-1)
 band   nu*P_nu(band) j_nu(band)
 (um)   (erg s-1 H-1)(Jy cm2 sr-1 H-1)
9.817E+02  1.520E-26  3.959E-16
9.727E+02  1.582E-26  4.083E-16
9.638E+02  1.647E-26  4.211E-16
9.550E+02  1.714E-26  4.343E-16
9.462E+02  1.784E-26  4.479E-16
9.376E+02  1.857E-26  4.619E-16
9.290E+02  1.933E-26  4.764E-16
9.204E+02  2.012E-26  4.913E-16
9.120E+02  2.094E-26  5.066E-16
9.036E+02  2.180E-26  5.224E-16
8.954E+02  2.268E-26  5.388E-16
8.872E+02  2.361E-26  5.555E-16
8.790E+02  2.457E-26  5.729E-16
8.710E+02  2.557E-26  5.907E-16
8.630E+02  2.661E-26  6.091E-16
8.551E+02  2.769E-26  6.280E-16
8.472E+02  2.881E-26  6.475E-16
8.395E+02  2.998E-26  6.676E-16
8.318E+02  3.120E-26  6.884E-16
8.241E+02  3.246E-26  7.097E-16
8.166E+02  3.378E-26  7.317E-16
8.091E+02  3.515E-26  7.543E-16
8.017E+02  3.657E-26  7.776E-16
7.943E+02  3.805E-26  8.017E-16
7.870E+02  3.958E-26  8.264E-16
7.798E+02  4.118E-26  8.519E-16
7.727E+02  4.285E-26  8.782E-16
7.656E+02  4.458E-26  9.053E-16
7.586E+02  4.637E-26  9.331E-16
7.516E+02  4.824E-26  9.619E-16
7.447E+02  5.019E-26  9.915E-16
7.379E+02  5.222E-26  1.022E-15
7.311E+02  5.433E-26  1.054E-15
7.244E+02  5.652E-26  1.086E-15
7.178E+02  5.880E-26  1.120E-15
7.112E+02  6.118E-26  1.154E-15
7.047E+02  6.365E-26  1.190E-15
6.982E+02  6.621E-26  1.226E-15
6.918E+02  6.889E-26  1.264E-15
6.855E+02  7.167E-26  1.303E-15
6.792E+02  7.456E-26  1.343E-15
6.730E+02  7.756E-26  1.385E-15
6.668E+02  8.068E-26  1.427E-15
6.607E+02  8.392E-26  1.471E-15
6.546E+02  8.731E-26  1.516E-15
6.486E+02  9.084E-26  1.563E-15
6.427E+02  9.451E-26  1.611E-15
6.368E+02  9.833E-26  1.661E-15
6.310E+02  1.023E-25  1.712E-15
6.252E+02  1.064E-25  1.765E-15
6.194E+02  1.107E-25  1.820E-15
6.138E+02  1.152E-25  1.876E-15
6.081E+02  1.199E-25  1.934E-15
6.026E+02  1.247E-25  1.993E-15
5.970E+02  1.298E-25  2.055E-15
5.916E+02  1.350E-25  2.118E-15
5.861E+02  1.405E-25  2.184E-15
5.808E+02  1.461E-25  2.251E-15
5.754E+02  1.521E-25  2.321E-15
5.702E+02  1.582E-25  2.393E-15
5.649E+02  1.646E-25  2.467E-15
5.598E+02  1.713E-25  2.543E-15
5.546E+02  1.782E-25  2.621E-15
5.495E+02  1.854E-25  2.702E-15
5.445E+02  1.929E-25  2.786E-15
5.395E+02  2.007E-25  2.872E-15
5.346E+02  2.088E-25  2.961E-15
5.297E+02  2.173E-25  3.052E-15
5.248E+02  2.260E-25  3.147E-15
5.200E+02  2.352E-25  3.244E-15
5.152E+02  2.447E-25  3.344E-15
5.105E+02  2.546E-25  3.448E-15
5.058E+02  2.649E-25  3.554E-15
5.012E+02  2.756E-25  3.664E-15
4.966E+02  2.867E-25  3.777E-15
4.920E+02  2.983E-25  3.894E-15
4.875E+02  3.104E-25  4.014E-15
4.831E+02  3.229E-25  4.138E-15
4.786E+02  3.360E-25  4.265E-15
4.742E+02  3.495E-25  4.397E-15
4.699E+02  3.636E-25  4.533E-15
4.656E+02  3.783E-25  4.672E-15
4.613E+02  3.936E-25  4.816E-15
4.571E+02  4.095E-25  4.965E-15
4.529E+02  4.260E-25  5.118E-15
4.487E+02  4.432E-25  5.275E-15
4.446E+02  4.610E-25  5.437E-15
4.406E+02  4.796E-25  5.604E-15
4.365E+02  4.989E-25  5.777E-15
4.325E+02  5.190E-25  5.954E-15
4.285E+02  5.399E-25  6.137E-15
4.246E+02  5.616E-25  6.325E-15
4.207E+02  5.842E-25  6.519E-15
4.169E+02  6.077E-25  6.719E-15
4.130E+02  6.321E-25  6.925E-15
4.093E+02  6.575E-25  7.138E-15
4.055E+02  6.839E-25  7.356E-15
4.018E+02  7.113E-25  7.581E-15
3.981E+02  7.399E-25  7.813E-15
3.945E+02  7.696E-25  8.053E-15
3.908E+02  8.005E-25  8.299E-15
3.873E+02  8.326E-25  8.553E-15
3.837E+02  8.660E-25  8.814E-15
3.802E+02  9.006E-25  9.083E-15
3.767E+02  9.367E-25  9.360E-15
3.733E+02  9.742E-25  9.645E-15
3.698E+02  1.013E-24  9.939E-15
3.664E+02  1.054E-24  1.024E-14
3.631E+02  1.096E-24  1.055E-14
3.597E+02  1.139E-24  1.087E-14
3.565E+02  1.185E-24  1.120E-14
3.532E+02  1.232E-24  1.154E-14
3.499E+02  1.281E-24  1.189E-14
