3096    38.750 38.716 38.499 37.935 39.290 39.254 39.033 38.464 39.400 39.366 39.146 38.582
3188    39.460 39.461 39.460 39.467 39.463 39.461 39.448 39.386 39.466 39.449 39.342 38.992
3203    38.638 38.638 38.638 38.641 38.648 38.648 38.648 38.649 38.643 38.643 38.643 38.642
3671    38.468 38.468 38.469 38.493 38.471 38.471 38.471 38.495 38.474 38.474 38.475 38.500
3674    38.523 38.523 38.523 38.543 38.525 38.525 38.526 38.546 38.528 38.528 38.529 38.551
3676    38.579 38.580 38.580 38.597 38.582 38.582 38.583 38.599 38.585 38.585 38.586 38.605
3679    38.639 38.639 38.640 38.653 38.642 38.642 38.643 38.656 38.645 38.645 38.646 38.661
3683    38.702 38.702 38.703 38.713 38.705 38.705 38.706 38.716 38.708 38.708 38.709 38.722
3687    38.769 38.769 38.769 38.777 38.772 38.772 38.772 38.780 38.775 38.775 38.775 38.786
3692    38.839 38.839 38.839 38.845 38.842 38.842 38.842 38.848 38.845 38.845 38.846 38.854
3697    38.913 38.913 38.913 38.918 38.916 38.916 38.916 38.921 38.919 38.919 38.920 38.927
3704    38.992 38.992 38.992 38.995 38.996 38.996 38.996 38.999 38.999 38.999 38.999 39.005
3712    39.076 39.076 39.076 39.079 39.080 39.080 39.080 39.082 39.083 39.083 39.083 39.089
3722    39.167 39.167 39.167 39.168 39.170 39.170 39.170 39.172 39.173 39.173 39.174 39.178
3727    41.300 41.300 41.294 41.231 40.541 40.540 40.534 40.471 39.687 39.687 39.681 39.622
3734    39.264 39.264 39.264 39.265 39.267 39.267 39.267 39.269 39.270 39.270 39.271 39.275
3750    39.369 39.369 39.369 39.369 39.372 39.372 39.372 39.373 39.375 39.375 39.376 39.380
3771    39.483 39.483 39.483 39.484 39.487 39.487 39.487 39.488 39.490 39.490 39.491 39.494
3798    39.623 39.623 39.623 39.624 39.629 39.629 39.629 39.630 39.633 39.633 39.633 39.636
3820    38.896 38.896 38.898 38.910 38.887 38.887 38.890 38.909 38.886 38.887 38.892 38.916
3835    39.763 39.763 39.764 39.764 39.770 39.770 39.770 39.770 39.774 39.774 39.774 39.778
3869    40.335 40.336 40.338 40.344 40.535 40.535 40.539 40.544 40.599 40.601 40.606 40.617
3889    39.853 39.853 39.855 39.878 39.854 39.851 39.838 39.745 39.855 39.835 39.662 39.245
3889    39.917 39.917 39.918 39.918 39.923 39.923 39.923 39.924 39.927 39.927 39.927 39.931
3965    38.839 38.839 38.841 38.853 38.841 38.842 38.844 38.861 38.847 38.847 38.852 38.870
3968    39.814 39.815 39.817 39.823 40.014 40.014 40.018 40.023 40.078 40.080 40.085 40.096
3970    40.097 40.097 40.097 40.098 40.102 40.102 40.102 40.103 40.105 40.105 40.106 40.110
4026    39.153 39.153 39.154 39.164 39.143 39.143 39.146 39.164 39.142 39.143 39.152 39.182
4070    39.268 39.270 39.286 39.395 38.588 38.589 38.602 38.701 37.730 37.731 37.744 37.843
4074    39.393 39.395 39.411 39.519 38.713 38.714 38.727 38.825 37.855 37.856 37.869 37.967
4102    40.309 40.309 40.309 40.310 40.313 40.313 40.313 40.315 40.316 40.316 40.317 40.321
